Type,Al(ppm),Ti(ppm),Li(ppm),Ge(ppm),Sr(ppm)
pegmatite,537.2,2.3,117.5,8.3,0.06
pegmatite,372,1.3,74.7,8,0.02
pegmatite,97.3,14,23.1,2,0.06
pegmatite,162.4,15.9,30.5,1.7,0.02
pegmatite,137.7,17.7,26.4,1.6,0.02
pegmatite,132.4,14.3,28.5,1.7,0.06
pegmatite,189,14.4,37.6,1.8,0.04
pegmatite,137.7,15.9,30.2,2.2,0.09
pegmatite,116.4,11,30.6,2.1,0.08
pegmatite,104.5,10.6,29.9,2.5,0.04
pegmatite,152.6,9.7,23.9,2.7,0.05
pegmatite,395.5,2.2,124.8,11.3,0.06
pegmatite,543.5,2.4,264.8,11.4,0.06
pegmatite,565.1,2.5,143.4,8.1,0.04
pegmatite,91.7,12.7,15.7,2.4,0.04
pegmatite,145.3,15,19.2,3.2,0.05
pegmatite,188.9,19.2,16.8,4.7,0.12
pegmatite,241.4,17.6,14,6,0.03
pegmatite,206.5,13.2,17.3,5.7,0.24
pegmatite,52.2,7.6,11.1,1.1,0.04
pegmatite,8.3,14.5,6.4,2.3,0.07
pegmatite,40.2,24.1,8.1,3.2,0.11
pegmatite,32.7,17.2,6.8,2.6,0.02
pegmatite,123.2,14.4,37.3,2.2,0.09
pegmatite,136.2,15.1,39.1,2.5,0.09
pegmatite,154.1,16.4,37.3,2.3,0.1
pegmatite,111.5,13.9,31.8,2.4,0.07
pegmatite,118.7,17.9,34.2,2.7,0.04
pegmatite,134.2,17.6,32.1,2.9,0.02
pegmatite,127,7.2,31.2,2.7,0.03
pegmatite,135.4,10,35.2,2.4,0.03
pegmatite,106.8,6.7,33.9,1.7,0.02
pegmatite,311.2,14.2,47,2.4,0.04
pegmatite,254.7,10.9,90.1,2.7,0.07
granite,232,7.1,4.6,1.08,0.19
granite,236,9,14.3,1.12,0.1
granite,132,8.6,14.1,2.91,0.06
granite,333,9.4,11,1.65,0.16
granite,212,6.7,9,1.84,0.17
granite,284,5.9,17,1.26,0.2
